#node1,node2,combined_score
GNG4,PPBP,0.437
HPGD,CPB2,0.437
HPGD,PTGS2,0.676
ISL1,CHGA,0.454
ISL1,GAD1,0.472
ISL1,SOX11,0.478
ISL1,POU3F2,0.495
ISL1,ZIC2,0.538
ISL1,POU4F1,0.756
KIF14,DLGAP5,0.933
KIF14,TUBB2B,0.916
KIF14,KIF23,0.958
KIF14,DEPDC1B,0.822
KIF14,NUF2,0.872
KIF14,SPC25,0.54
KIF14,E2F7,0.448
KIF14,DEPDC1,0.873
KIF14,TTK,0.904
KIF14,ASPM,0.963
KIF23,DLGAP5,0.951
KIF23,E2F7,0.604
KIF23,SPC25,0.618
KIF23,DEPDC1B,0.654
KIF23,TTK,0.833
KIF23,DEPDC1,0.865
KIF23,NUF2,0.912
KIF23,KIF14,0.958
KIF23,ASPM,0.987
LHX2,SOX11,0.416
LHX2,POU3F2,0.526
LHX2,ZIC2,0.445
LHX2,POU4F1,0.469
LHX2,SP8,0.52
NUF2,DLGAP5,0.964
NUF2,TUBB2B,0.846
NUF2,KIF23,0.912
NUF2,DEPDC1B,0.81
NUF2,E2F7,0.461
NUF2,KIF14,0.872
NUF2,DEPDC1,0.898
NUF2,ASPM,0.98
NUF2,TTK,0.989
NUF2,SPC25,0.999
OGN,ANGPTL1,0.471
PLA2G1B,PTGS2,0.748
POU3F2,ISL1,0.495
POU3F2,SOX11,0.587
POU3F2,GAD1,0.412
POU3F2,LHX2,0.526
POU3F2,ZIC2,0.547
POU4F1,ISL1,0.756
POU4F1,SOX11,0.41
POU4F1,GAD1,0.408
POU4F1,LHX2,0.469
PPBP,CXCL5,0.833
PPBP,FCER1A,0.436
PPBP,GNG4,0.437
PTGS2,CXCL5,0.56
PTGS2,HPGD,0.676
PTGS2,PLA2G1B,0.748
PTGS2,AGER,0.448
RAB3B,RIMS2,0.686
RIMS2,STXBP5L,0.44
RIMS2,RAB3B,0.686
SCG3,CHGA,0.99
SCN7A,SCN8A,0.603
SCN8A,CNTNAP2,0.473
SCN8A,SCN7A,0.603
SFTA2,SFTPA2,0.515
SFTA2,SFTPA1,0.632
SFTPA1,CLDN18,0.572
SFTPA1,SFTA2,0.632
SFTPA1,SFTPA2,0.956
SFTPA1,AGER,0.722
SFTPA2,CLDN18,0.425
SFTPA2,SFTA2,0.515
SFTPA2,AGER,0.623
SFTPA2,SFTPA1,0.956
SLC19A3,SLC22A3,0.403
SLC22A3,SLC6A4,0.72
SLC22A3,SLC19A3,0.403
SLC6A4,GAD1,0.517
SLC6A4,SLC22A3,0.72
SOX11,ISL1,0.478
SOX11,POU4F1,0.41
SOX11,LHX2,0.416
SOX11,ZIC2,0.452
SOX11,POU3F2,0.587
SP8,GAD1,0.408
SP8,LHX2,0.52
SPC25,DLGAP5,0.854
SPC25,KIF23,0.618
SPC25,DEPDC1B,0.573
SPC25,NUF2,0.999
SPC25,KIF14,0.54
SPC25,DEPDC1,0.756
SPC25,ASPM,0.852
SPC25,TTK,0.878
STXBP5L,RIMS2,0.44
TTK,DLGAP5,0.977
TTK,KIF23,0.833
TTK,DEPDC1B,0.62
TTK,NUF2,0.989
TTK,SPC25,0.878
TTK,E2F7,0.579
TTK,KIF14,0.904
TTK,ASPM,0.957
TTK,DEPDC1,0.931
TUBB2B,NUF2,0.846
TUBB2B,KIF14,0.916
ZIC2,ISL1,0.538
ZIC2,SOX11,0.452
ZIC2,POU3F2,0.547
ZIC2,LHX2,0.445
